file,cluster,split
000117.npy,1,train
000118.npy,8,train
000119.npy,12,train
000120.npy,0,train
000121.npy,11,train
000122.npy,0,train
000123.npy,2,train
000124.npy,2,train
000125.npy,2,train
000126.npy,6,val
000127.npy,6,val
000128.npy,0,train
000129.npy,6,val
000130.npy,6,val
000131.npy,6,val
000132.npy,2,train
000133.npy,2,train
000134.npy,2,train
000135.npy,6,val
000136.npy,6,val
000137.npy,6,val
000138.npy,6,val
000139.npy,6,val
000140.npy,17,train
000141.npy,10,train
000142.npy,14,train
000143.npy,7,train
000144.npy,8,train
000145.npy,12,train
000146.npy,16,train
000147.npy,7,train
000148.npy,7,train
000149.npy,10,train
000150.npy,6,val
000151.npy,14,train
000152.npy,6,val
000153.npy,10,train
000154.npy,6,val
000155.npy,10,train
000156.npy,1,train
000157.npy,7,train
000158.npy,10,train
000159.npy,14,train
000160.npy,14,train
000161.npy,14,train
000162.npy,5,train
000163.npy,18,train
000164.npy,18,train
000165.npy,0,train
000166.npy,0,train
000167.npy,0,train
000168.npy,0,train
000169.npy,6,val
000170.npy,10,train
000171.npy,0,train
000172.npy,5,train
000173.npy,5,train
000174.npy,0,train
000175.npy,0,train
000176.npy,0,train
000177.npy,10,train
000178.npy,10,train
000179.npy,10,train
000180.npy,0,train
000181.npy,6,val
000182.npy,0,train
000183.npy,18,train
000184.npy,5,train
000185.npy,1,train
000186.npy,13,train
000187.npy,7,train
000188.npy,7,train
000189.npy,0,train
000190.npy,0,train
000191.npy,6,val
000192.npy,0,train
000193.npy,0,train
000194.npy,0,train
000195.npy,10,train
000196.npy,10,train
000197.npy,10,train
000198.npy,1,train
000199.npy,13,train
000200.npy,17,train
000201.npy,5,train
000202.npy,5,train
000203.npy,5,train
000204.npy,7,train
000205.npy,13,train
000206.npy,13,train
000207.npy,18,train
000208.npy,18,train
000209.npy,18,train
000210.npy,7,train
000211.npy,7,train
000212.npy,7,train
000213.npy,0,train
000214.npy,6,val
000215.npy,0,train
000216.npy,7,train
000217.npy,10,train
000218.npy,10,train
000219.npy,7,train
000220.npy,1,train
000221.npy,7,train
000222.npy,7,train
000223.npy,13,train
000224.npy,7,train
000225.npy,14,train
000226.npy,10,train
000227.npy,10,train
000228.npy,18,train
000229.npy,5,train
000230.npy,12,train
000231.npy,2,train
000232.npy,6,val
000233.npy,2,train
000234.npy,0,train
000235.npy,6,val
000236.npy,0,train
000237.npy,2,train
000238.npy,0,train
000239.npy,2,train
000240.npy,9,train
000241.npy,9,train
000242.npy,11,train
000243.npy,6,val
000244.npy,6,val
000245.npy,6,val
000246.npy,12,train
000247.npy,14,train
000248.npy,11,train
000249.npy,0,train
000250.npy,6,val
000251.npy,0,train
000252.npy,6,val
000253.npy,6,val
000254.npy,10,train
000255.npy,8,train
000256.npy,19,val
000257.npy,0,train
000258.npy,8,train
000259.npy,2,train
000260.npy,0,train
000261.npy,2,train
000262.npy,2,train
000263.npy,2,train
000264.npy,14,train
000265.npy,13,train
000266.npy,13,train
000267.npy,0,train
000268.npy,2,train
000269.npy,5,train
000270.npy,11,train
000271.npy,11,train
000272.npy,14,train
000273.npy,6,val
000274.npy,2,train
000275.npy,0,train
000276.npy,2,train
000277.npy,2,train
000278.npy,2,train
000279.npy,11,train
000280.npy,11,train
000281.npy,11,train
000282.npy,5,train
000283.npy,5,train
000284.npy,11,train
000285.npy,6,val
000286.npy,2,train
000287.npy,0,train
000288.npy,14,train
000289.npy,13,train
000290.npy,14,train
000291.npy,13,train
000292.npy,1,train
000293.npy,1,train
000294.npy,6,val
000295.npy,0,train
000296.npy,2,train
000297.npy,14,train
000298.npy,14,train
000299.npy,14,train
000300.npy,8,train
000301.npy,8,train
000302.npy,8,train
000303.npy,1,train
000304.npy,11,train
000305.npy,11,train
000306.npy,13,train
000307.npy,1,train
000308.npy,10,train
000309.npy,10,train
000310.npy,7,train
000311.npy,10,train
000312.npy,2,train
000313.npy,0,train
000314.npy,11,train
000315.npy,13,train
000316.npy,13,train
000317.npy,13,train
000318.npy,0,train
000319.npy,0,train
000320.npy,6,val
000321.npy,11,train
000322.npy,18,train
000323.npy,18,train
000324.npy,0,train
000325.npy,0,train
000326.npy,0,train
000327.npy,10,train
000328.npy,5,train
000329.npy,5,train
000330.npy,10,train
000331.npy,6,val
000332.npy,2,train
000333.npy,0,train
000334.npy,0,train
000335.npy,6,val
000336.npy,8,train
000337.npy,10,train
000338.npy,14,train
000339.npy,6,val
000340.npy,0,train
000341.npy,0,train
000342.npy,2,train
000343.npy,6,val
000344.npy,6,val
000345.npy,10,train
000346.npy,2,train
000347.npy,0,train
000348.npy,2,train
000349.npy,2,train
000350.npy,2,train
000351.npy,6,val
000352.npy,2,train
000353.npy,6,val
000354.npy,2,train
000355.npy,6,val
000356.npy,6,val
000357.npy,6,val
000358.npy,6,val
000359.npy,6,val
000360.npy,0,train
000361.npy,0,train
000362.npy,0,train
000363.npy,6,val
000364.npy,0,train
000365.npy,6,val
000366.npy,0,train
000367.npy,0,train
000368.npy,6,val
000369.npy,0,train
000370.npy,10,train
000371.npy,0,train
000372.npy,10,train
000373.npy,10,train
000374.npy,10,train
000375.npy,2,train
000376.npy,6,val
000377.npy,6,val
000378.npy,11,train
000379.npy,0,train
000380.npy,0,train
000381.npy,10,train
000382.npy,10,train
000383.npy,6,val
000384.npy,6,val
000385.npy,2,train
000386.npy,6,val
000387.npy,0,train
000388.npy,0,train
000389.npy,0,train
000390.npy,6,val
000391.npy,0,train
000392.npy,6,val
000393.npy,10,train
000394.npy,10,train
000395.npy,10,train
000396.npy,6,val
000397.npy,14,train
000398.npy,2,train
000399.npy,8,train
000400.npy,6,val
000401.npy,0,train
000402.npy,2,train
000403.npy,2,train
000404.npy,2,train
000405.npy,0,train
000406.npy,5,train
000407.npy,5,train
000408.npy,0,train
000409.npy,2,train
000410.npy,0,train
000411.npy,6,val
000412.npy,0,train
000413.npy,6,val
000414.npy,10,train
000415.npy,10,train
000416.npy,10,train
000417.npy,6,val
000418.npy,0,train
000419.npy,10,train
000420.npy,1,train
000421.npy,8,train
000422.npy,8,train
000423.npy,6,val
000424.npy,0,train
000425.npy,11,train
000426.npy,0,train
000427.npy,0,train
000428.npy,6,val
000429.npy,0,train
000430.npy,6,val
000431.npy,6,val
000432.npy,0,train
000433.npy,2,train
000434.npy,2,train
000435.npy,13,train
000436.npy,12,train
000437.npy,16,train
000438.npy,0,train
000439.npy,0,train
000440.npy,11,train
000441.npy,14,train
000442.npy,9,train
000443.npy,9,train
000444.npy,4,val
000445.npy,4,val
000446.npy,4,val
000447.npy,10,train
000448.npy,2,train
000449.npy,2,train
000450.npy,2,train
000451.npy,1,train
000452.npy,14,train
000453.npy,0,train
000454.npy,6,val
000455.npy,6,val
000456.npy,6,val
000457.npy,5,train
000458.npy,0,train
000459.npy,13,train
000460.npy,13,train
000461.npy,7,train
000462.npy,6,val
000463.npy,10,train
000464.npy,10,train
000465.npy,2,train
000466.npy,2,train
000467.npy,0,train
000468.npy,0,train
000469.npy,15,train
000470.npy,15,train
000471.npy,0,train
000472.npy,0,train
000473.npy,6,val
000474.npy,4,val
000475.npy,14,train
000476.npy,13,train
000477.npy,6,val
000478.npy,2,train
000479.npy,0,train
000480.npy,0,train
000481.npy,2,train
000482.npy,0,train
000483.npy,6,val
000484.npy,2,train
000485.npy,0,train
000486.npy,11,train
000487.npy,11,train
000488.npy,11,train
000489.npy,10,train
000490.npy,0,train
000491.npy,0,train
000492.npy,6,val
000493.npy,6,val
000494.npy,6,val
000495.npy,6,val
000496.npy,0,train
000497.npy,10,train
000498.npy,0,train
000499.npy,2,train
000500.npy,6,val
000501.npy,6,val
000502.npy,6,val
000503.npy,6,val
000504.npy,2,train
000505.npy,8,train
000506.npy,2,train
000507.npy,1,train
000508.npy,1,train
000509.npy,10,train
000510.npy,0,train
000511.npy,0,train
000512.npy,6,val
000513.npy,5,train
000514.npy,2,train
000515.npy,0,train
000516.npy,0,train
000517.npy,0,train
000518.npy,2,train
000519.npy,0,train
000520.npy,0,train
000521.npy,0,train
000522.npy,11,train
000523.npy,5,train
000524.npy,11,train
000525.npy,13,train
000526.npy,7,train
000527.npy,13,train
000528.npy,6,val
000529.npy,6,val
000530.npy,2,train
000531.npy,0,train
000532.npy,0,train
000533.npy,6,val
000534.npy,6,val
000535.npy,6,val
000536.npy,6,val
000537.npy,5,train
000538.npy,3,train
000539.npy,8,train
000540.npy,0,train
000541.npy,0,train
000542.npy,0,train
000543.npy,8,train
000544.npy,11,train
000545.npy,11,train
000546.npy,5,train
000547.npy,18,train
000548.npy,0,train
000549.npy,12,train
000550.npy,8,train
000551.npy,8,train
000552.npy,5,train
000553.npy,5,train
000554.npy,5,train
000555.npy,13,train
000556.npy,13,train
000557.npy,10,train
000558.npy,11,train
000559.npy,18,train
000560.npy,18,train
000561.npy,2,train
000562.npy,0,train
000563.npy,6,val
000564.npy,0,train
000565.npy,0,train
000566.npy,11,train
000567.npy,6,val
000568.npy,6,val
000569.npy,6,val
000570.npy,5,train
000571.npy,11,train
000572.npy,18,train
000573.npy,6,val
000574.npy,6,val
000575.npy,6,val
000576.npy,0,train
000577.npy,11,train
000578.npy,0,train
000579.npy,0,train
000580.npy,5,train
000581.npy,0,train
000582.npy,13,train
000583.npy,13,train
000584.npy,10,train
000585.npy,1,train
000586.npy,12,train
000587.npy,13,train
000588.npy,0,train
000589.npy,0,train
000590.npy,0,train
000591.npy,0,train
000592.npy,0,train
000593.npy,0,train
000594.npy,6,val
000595.npy,0,train
000596.npy,0,train
000597.npy,14,train
000598.npy,10,train
000599.npy,10,train
000600.npy,10,train
000601.npy,7,train
000602.npy,7,train
000603.npy,0,train
000604.npy,0,train
000605.npy,5,train
000606.npy,0,train
000607.npy,6,val
000608.npy,6,val
000609.npy,16,train
000610.npy,12,train
000611.npy,13,train
000612.npy,1,train
000613.npy,8,train
000614.npy,8,train
000615.npy,6,val
000616.npy,0,train
000617.npy,6,val
000618.npy,0,train
000619.npy,0,train
000620.npy,11,train
000621.npy,5,train
000622.npy,0,train
000623.npy,5,train
000624.npy,6,val
000625.npy,2,train
000626.npy,6,val
000627.npy,0,train
000628.npy,2,train
000629.npy,2,train
000630.npy,0,train
000631.npy,0,train
000632.npy,2,train
000633.npy,5,train
000634.npy,2,train
000635.npy,6,val
000636.npy,6,val
000637.npy,6,val
000638.npy,6,val
000639.npy,13,train
000640.npy,16,train
000641.npy,16,train
000642.npy,6,val
000643.npy,0,train
000644.npy,0,train
000645.npy,7,train
000646.npy,6,val
000647.npy,10,train
000648.npy,2,train
000649.npy,2,train
000650.npy,2,train
000651.npy,6,val
000652.npy,0,train
000653.npy,0,train
000654.npy,2,train
000655.npy,2,train
000656.npy,7,train
000657.npy,11,train
000658.npy,11,train
000659.npy,11,train
000660.npy,12,train
000661.npy,12,train
000662.npy,8,train
000663.npy,7,train
000664.npy,7,train
000665.npy,10,train
000666.npy,6,val
000667.npy,6,val
000668.npy,0,train
000669.npy,1,train
000670.npy,1,train
000671.npy,17,train
000672.npy,6,val
000673.npy,14,train
000674.npy,10,train
000675.npy,6,val
000676.npy,6,val
000677.npy,6,val
000678.npy,0,train
000679.npy,0,train
000680.npy,0,train
000681.npy,6,val
000682.npy,6,val
000683.npy,6,val
000684.npy,0,train
000685.npy,6,val
000686.npy,0,train
000687.npy,14,train
000688.npy,6,val
000689.npy,11,train
000690.npy,2,train
000691.npy,0,train
000692.npy,0,train
000693.npy,6,val
000694.npy,6,val
000695.npy,6,val
000696.npy,14,train
000697.npy,14,train
000698.npy,13,train
000699.npy,11,train
000700.npy,11,train
000701.npy,11,train
000702.npy,1,train
000703.npy,8,train
000704.npy,8,train
000705.npy,4,val
000706.npy,4,val
000707.npy,4,val
000708.npy,0,train
000709.npy,2,train
000710.npy,2,train
000711.npy,1,train
000712.npy,10,train
000713.npy,10,train
000714.npy,15,train
000715.npy,8,train
000716.npy,18,train
000717.npy,10,train
000718.npy,10,train
000719.npy,10,train
000720.npy,10,train
000721.npy,10,train
000722.npy,10,train
000723.npy,0,train
000724.npy,0,train
000725.npy,6,val
000726.npy,10,train
000727.npy,10,train
000728.npy,10,train
000729.npy,6,val
000730.npy,0,train
000731.npy,10,train
000732.npy,8,train
000733.npy,5,train
000734.npy,8,train
000735.npy,1,train
000736.npy,1,train
000737.npy,6,val
000738.npy,15,train
000739.npy,5,train
000740.npy,15,train
000741.npy,0,train
000742.npy,6,val
000743.npy,0,train
000744.npy,13,train
000745.npy,7,train
000746.npy,7,train
000747.npy,5,train
000748.npy,2,train
000749.npy,2,train
000750.npy,2,train
000751.npy,6,val
000752.npy,2,train
000753.npy,6,val
000754.npy,6,val
000755.npy,6,val
000756.npy,5,train
000757.npy,5,train
000758.npy,5,train
000759.npy,13,train
000760.npy,13,train
000761.npy,7,train
000762.npy,11,train
000763.npy,11,train
000764.npy,11,train
000765.npy,2,train
000766.npy,2,train
000767.npy,2,train
000768.npy,10,train
000769.npy,10,train
000770.npy,6,val
000771.npy,6,val
000772.npy,2,train
000773.npy,0,train
000774.npy,10,train
000775.npy,10,train
000776.npy,10,train
000777.npy,10,train
000778.npy,10,train
000779.npy,10,train
000780.npy,8,train
000781.npy,8,train
000782.npy,8,train
000783.npy,1,train
000784.npy,1,train
000785.npy,13,train
000786.npy,14,train
000787.npy,7,train
000788.npy,7,train
000789.npy,5,train
000790.npy,15,train
000791.npy,15,train
000792.npy,11,train
000793.npy,11,train
000794.npy,11,train
000795.npy,8,train
000796.npy,1,train
000797.npy,1,train
000798.npy,6,val
000799.npy,0,train
000800.npy,2,train
000801.npy,4,val
000802.npy,13,train
000803.npy,1,train
000804.npy,2,train
000805.npy,5,train
000806.npy,5,train
000807.npy,11,train
000808.npy,11,train
000809.npy,11,train
000810.npy,2,train
000811.npy,2,train
000812.npy,2,train
000813.npy,0,train
000814.npy,6,val
000815.npy,0,train
000816.npy,7,train
000817.npy,13,train
000818.npy,13,train
000819.npy,0,train
000820.npy,0,train
000821.npy,5,train
000822.npy,18,train
000823.npy,0,train
000824.npy,18,train
000825.npy,6,val
000826.npy,6,val
000827.npy,6,val
000828.npy,2,train
000829.npy,2,train
000830.npy,2,train
000831.npy,0,train
000832.npy,8,train
000833.npy,5,train
000834.npy,2,train
000835.npy,2,train
000836.npy,6,val
000837.npy,19,val
000838.npy,10,train
000839.npy,6,val
000840.npy,10,train
000841.npy,0,train
000842.npy,6,val
000843.npy,2,train
000844.npy,2,train
000845.npy,0,train
000846.npy,11,train
000847.npy,12,train
000848.npy,6,val
000849.npy,0,train
000850.npy,0,train
000851.npy,11,train
000852.npy,0,train
000853.npy,0,train
000854.npy,0,train
000855.npy,11,train
000856.npy,11,train
000857.npy,11,train
000858.npy,6,val
000859.npy,6,val
000860.npy,10,train
000861.npy,14,train
000862.npy,8,train
000863.npy,14,train
000864.npy,0,train
000865.npy,0,train
000866.npy,0,train
000867.npy,14,train
000868.npy,13,train
000869.npy,10,train
000870.npy,8,train
000871.npy,8,train
000872.npy,2,train
000873.npy,7,train
000874.npy,7,train
000875.npy,7,train
000876.npy,12,train
000877.npy,16,train
000878.npy,1,train
000879.npy,2,train
000880.npy,2,train
000881.npy,2,train
000882.npy,0,train
000883.npy,5,train
000884.npy,5,train
000885.npy,14,train
000886.npy,10,train
000887.npy,14,train
000888.npy,2,train
000889.npy,0,train
000890.npy,0,train
000891.npy,6,val
000892.npy,2,train
000893.npy,6,val
000894.npy,6,val
000895.npy,0,train
000896.npy,10,train
000897.npy,14,train
000898.npy,6,val
000899.npy,14,train
000900.npy,2,train
000901.npy,0,train
000902.npy,6,val
000903.npy,10,train
000904.npy,10,train
000905.npy,10,train
000906.npy,0,train
000907.npy,0,train
000908.npy,0,train
000909.npy,0,train
000910.npy,6,val
000911.npy,6,val
000912.npy,1,train
000913.npy,7,train
000914.npy,4,val
000915.npy,14,train
000916.npy,10,train
000917.npy,14,train
000918.npy,13,train
000919.npy,13,train
000920.npy,1,train
000921.npy,5,train
000922.npy,18,train
000923.npy,5,train
000924.npy,0,train
000925.npy,2,train
000926.npy,10,train
000927.npy,14,train
000928.npy,11,train
000929.npy,6,val
000930.npy,2,train
000931.npy,10,train
000932.npy,0,train
000933.npy,2,train
000934.npy,7,train
000935.npy,2,train
000936.npy,13,train
000937.npy,13,train
000938.npy,1,train
000939.npy,0,train
000940.npy,6,val
000941.npy,0,train
000942.npy,0,train
000943.npy,11,train
000944.npy,11,train
000945.npy,14,train
000946.npy,14,train
000947.npy,14,train
000948.npy,6,val
000949.npy,0,train
000950.npy,6,val
000951.npy,0,train
000952.npy,5,train
000953.npy,0,train
000954.npy,11,train
000955.npy,11,train
000956.npy,11,train
000957.npy,6,val
000958.npy,0,train
000959.npy,6,val
000960.npy,6,val
000961.npy,6,val
000962.npy,0,train
000963.npy,11,train
000964.npy,11,train
000965.npy,5,train
000966.npy,0,train
000967.npy,0,train
000968.npy,0,train
000969.npy,11,train
000970.npy,5,train
000971.npy,5,train
000972.npy,6,val
000973.npy,6,val
000974.npy,10,train
000975.npy,12,train
000976.npy,13,train
000977.npy,12,train
000978.npy,2,train
000979.npy,2,train
000980.npy,2,train
000981.npy,0,train
000982.npy,0,train
000983.npy,6,val
000984.npy,8,train
000985.npy,8,train
000986.npy,8,train
000987.npy,2,train
000988.npy,0,train
000989.npy,0,train
000990.npy,10,train
000991.npy,1,train
000992.npy,10,train
000993.npy,10,train
000994.npy,10,train
000995.npy,10,train
000996.npy,2,train
000997.npy,0,train
000998.npy,5,train
000999.npy,8,train
001000.npy,12,train
001001.npy,12,train
001002.npy,8,train
001003.npy,8,train
001004.npy,8,train
001005.npy,6,val
001006.npy,0,train
001007.npy,0,train
001008.npy,8,train
001009.npy,1,train
001010.npy,8,train
001011.npy,10,train
001012.npy,6,val
001013.npy,6,val
001014.npy,0,train
001015.npy,6,val
001016.npy,6,val
001017.npy,10,train
001018.npy,10,train
001019.npy,6,val
001020.npy,10,train
001021.npy,6,val
001022.npy,10,train
001023.npy,4,val
001024.npy,4,val
001025.npy,4,val
001026.npy,1,train
001027.npy,1,train
001028.npy,1,train
001029.npy,2,train
001030.npy,2,train
001031.npy,6,val
001032.npy,0,train
001033.npy,5,train
001034.npy,0,train
001035.npy,1,train
001036.npy,8,train
001037.npy,12,train
001038.npy,10,train
001039.npy,10,train
001040.npy,7,train
001041.npy,7,train
001042.npy,7,train
001043.npy,7,train
001044.npy,11,train
001045.npy,11,train
001046.npy,11,train
001047.npy,7,train
001048.npy,13,train
001049.npy,7,train
001050.npy,11,train
001051.npy,6,val
001052.npy,6,val
001053.npy,1,train
001054.npy,1,train
001055.npy,7,train
001056.npy,3,train
001057.npy,0,train
001058.npy,0,train
001059.npy,12,train
001060.npy,3,train
001061.npy,12,train
001062.npy,9,train
001063.npy,9,train
001064.npy,11,train
001065.npy,5,train
001066.npy,5,train
001067.npy,5,train
001068.npy,8,train
001069.npy,0,train
001070.npy,0,train
001071.npy,5,train
001072.npy,0,train
001073.npy,0,train
001074.npy,15,train
001075.npy,19,val
001076.npy,15,train
001077.npy,4,val
001078.npy,4,val
001079.npy,4,val
001080.npy,5,train
001081.npy,18,train
001082.npy,5,train
001083.npy,0,train
001084.npy,0,train
001085.npy,0,train
001086.npy,7,train
001087.npy,7,train
001088.npy,10,train
001089.npy,7,train
001090.npy,7,train
001091.npy,7,train
001092.npy,0,train
001093.npy,2,train
001094.npy,6,val
001095.npy,7,train
001096.npy,4,val
001097.npy,7,train
001098.npy,2,train
001099.npy,2,train
001100.npy,0,train
001101.npy,10,train
001102.npy,10,train
001103.npy,10,train
001104.npy,2,train
001105.npy,2,train
001106.npy,7,train
001107.npy,2,train
001108.npy,6,val
001109.npy,2,train
001110.npy,7,train
001111.npy,10,train
001112.npy,10,train
001113.npy,6,val
001114.npy,2,train
001115.npy,10,train
001116.npy,14,train
001117.npy,13,train
001118.npy,13,train
001119.npy,0,train
001120.npy,0,train
001121.npy,6,val
001122.npy,0,train
001123.npy,0,train
001124.npy,0,train
001125.npy,0,train
001126.npy,6,val
001127.npy,2,train
001128.npy,1,train
001129.npy,13,train
001130.npy,6,val
001131.npy,3,train
001132.npy,0,train
001133.npy,6,val
001134.npy,5,train
001135.npy,6,val
001136.npy,0,train
001137.npy,0,train
001138.npy,0,train
001139.npy,6,val
001140.npy,7,train
001141.npy,10,train
001142.npy,7,train
001143.npy,6,val
001144.npy,0,train
001145.npy,2,train
001146.npy,1,train
001147.npy,8,train
001148.npy,6,val
001149.npy,11,train
001150.npy,0,train
001151.npy,11,train
001152.npy,5,train
001153.npy,18,train
001154.npy,5,train
001155.npy,0,train
001156.npy,0,train
001157.npy,5,train
001158.npy,10,train
001159.npy,7,train
001160.npy,7,train
001161.npy,6,val
001162.npy,0,train
001163.npy,0,train
001164.npy,6,val
001165.npy,0,train
001166.npy,0,train
001167.npy,11,train
001168.npy,0,train
001169.npy,0,train
001170.npy,7,train
001171.npy,7,train
001172.npy,7,train
001173.npy,2,train
001174.npy,6,val
001175.npy,6,val
001176.npy,11,train
001177.npy,11,train
001178.npy,11,train
001179.npy,8,train
001180.npy,1,train
001181.npy,13,train
001182.npy,6,val
001183.npy,6,val
001184.npy,6,val
001185.npy,2,train
001186.npy,2,train
001187.npy,6,val
001188.npy,10,train
001189.npy,6,val
001190.npy,6,val
001191.npy,0,train
001192.npy,11,train
001193.npy,11,train
001194.npy,6,val
001195.npy,2,train
001196.npy,5,train
001197.npy,6,val
001198.npy,6,val
001199.npy,0,train
001200.npy,7,train
001201.npy,7,train
001202.npy,10,train
001203.npy,5,train
001204.npy,18,train
001205.npy,5,train
001206.npy,18,train
001207.npy,18,train
001208.npy,18,train
001209.npy,5,train
001210.npy,5,train
001211.npy,5,train
001212.npy,1,train
001213.npy,1,train
001214.npy,13,train
001215.npy,6,val
001216.npy,6,val
001217.npy,6,val
001218.npy,0,train
001219.npy,6,val
001220.npy,6,val
001221.npy,0,train
001222.npy,0,train
001223.npy,5,train
001224.npy,0,train
001225.npy,2,train
001226.npy,0,train
001227.npy,2,train
001228.npy,6,val
001229.npy,11,train
001230.npy,11,train
001231.npy,0,train
001232.npy,11,train
001233.npy,10,train
001234.npy,10,train
001235.npy,14,train
001236.npy,2,train
001237.npy,6,val
001238.npy,0,train
001239.npy,1,train
001240.npy,10,train
001241.npy,6,val
001242.npy,6,val
001243.npy,0,train
001244.npy,6,val
001245.npy,6,val
001246.npy,10,train
001247.npy,6,val
001248.npy,6,val
001249.npy,11,train
001250.npy,11,train
001251.npy,4,val
001252.npy,4,val
001253.npy,4,val
001254.npy,7,train
001255.npy,7,train
001256.npy,7,train
001257.npy,10,train
001258.npy,10,train
001259.npy,10,train
001260.npy,10,train
001261.npy,10,train
001262.npy,10,train
001263.npy,6,val
001264.npy,0,train
001265.npy,2,train
001266.npy,10,train
001267.npy,6,val
001268.npy,10,train
001269.npy,0,train
001270.npy,0,train
001271.npy,6,val
001272.npy,0,train
001273.npy,0,train
001274.npy,0,train
001275.npy,14,train
001276.npy,14,train
001277.npy,14,train
001278.npy,2,train
001279.npy,0,train
001280.npy,0,train
001281.npy,8,train
001282.npy,8,train
001283.npy,8,train
001284.npy,11,train
001285.npy,11,train
001286.npy,11,train
001287.npy,10,train
001288.npy,6,val
001289.npy,6,val
001290.npy,12,train
001291.npy,1,train
001292.npy,13,train
001293.npy,6,val
001294.npy,6,val
001295.npy,6,val
001296.npy,6,val
001297.npy,6,val
001298.npy,6,val
001299.npy,5,train
001300.npy,0,train
001301.npy,2,train
001302.npy,0,train
001303.npy,6,val
001304.npy,0,train
001305.npy,7,train
001306.npy,7,train
001307.npy,10,train
001308.npy,14,train
001309.npy,14,train
001310.npy,14,train
001311.npy,14,train
001312.npy,13,train
001313.npy,7,train
001314.npy,6,val
001315.npy,2,train
001316.npy,0,train
001317.npy,6,val
001318.npy,6,val
001319.npy,6,val
001320.npy,11,train
001321.npy,6,val
001322.npy,11,train
001323.npy,6,val
001324.npy,0,train
001325.npy,0,train
001326.npy,2,train
001327.npy,0,train
001328.npy,0,train
001329.npy,6,val
001330.npy,10,train
001331.npy,10,train
001332.npy,7,train
001333.npy,7,train
001334.npy,7,train
001335.npy,14,train
001336.npy,14,train
001337.npy,14,train
001338.npy,5,train
001339.npy,18,train
001340.npy,18,train
001341.npy,2,train
001342.npy,0,train
001343.npy,0,train
001344.npy,7,train
001345.npy,7,train
001346.npy,7,train
001347.npy,6,val
001348.npy,10,train
001349.npy,6,val
001350.npy,0,train
001351.npy,6,val
001352.npy,0,train
001353.npy,6,val
001354.npy,0,train
001355.npy,0,train
001356.npy,1,train
001357.npy,10,train
001358.npy,14,train
001359.npy,0,train
001360.npy,0,train
001361.npy,0,train
001362.npy,0,train
001363.npy,6,val
001364.npy,2,train
001365.npy,0,train
001366.npy,0,train
001367.npy,0,train
001368.npy,0,train
001369.npy,5,train
001370.npy,0,train
001371.npy,0,train
001372.npy,5,train
001373.npy,6,val
001374.npy,6,val
001375.npy,0,train
001376.npy,0,train
001377.npy,2,train
001378.npy,0,train
001379.npy,6,val
001380.npy,7,train
001381.npy,7,train
001382.npy,7,train
001383.npy,11,train
001384.npy,11,train
001385.npy,11,train
001386.npy,8,train
001387.npy,16,train
001388.npy,13,train
001389.npy,2,train
001390.npy,2,train
001391.npy,2,train
001392.npy,5,train
001393.npy,5,train
001394.npy,11,train
001395.npy,6,val
001396.npy,0,train
001397.npy,6,val
